food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Buns, Currant",Refined Grains And Baked Goods,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Added Sugars,Baked/Grain-Based Sweets,Wheat;Currant,1,1290,306,29,7,6.8,52.8,2.9,1.5,90,2.5,27,100,210,100,0.6,9,0,0,0,1,0.2,0.03,2.1,12,12,0,0
"Cake or cupcake, plain butter cake, commercial",Refined Grains And Baked Goods,Others,Others,Added Sugars,Baked/Grain-Based Sweets,No Species Assignment,1,1530,363,25.9,7.1,15.3,48.8,1.1,1.9,63,1,14,310,110,480,0.5,7,50,53,46,42.5,0.06,0.14,0.7,9,8.5,0.15,0
"Cake, Fruit",Refined Grains And Baked Goods,Others,Others,Added Sugars,Baked/Grain-Based Sweets,No Species Assignment,1,1550,368,20,4,12.3,58.8,3.1,1.8,75,2,23,106,347,170,0.5,4,8,12,5,41,0.1,0.1,0.2,0,0,0.2,0
"Cake, Sponge, homemade",Refined Grains And Baked Goods,Others,Others,Added Sugars,Baked/Grain-Based Sweets,No Species Assignment,1,1940,465,15,6.5,26.7,49.1,1.1,1.6,140,1.4,12,246,105,350,0.6,7,323,338,309,173,0.04,0.13,0.5,9,9,0.9,0
"Cake, Sponge, without fat",Refined Grains And Baked Goods,Others,Others,Added Sugars,Baked/Grain-Based Sweets,No Species Assignment,1,1280,304,30,10,6.3,51.2,1.2,1.3,70,2,15,137,136,80,0.9,14,73,73,73,0,0.1,0.25,0.5,16,16,1.6,0
"Cakes (various, fancy iced)",Refined Grains And Baked Goods,Others,Others,Added Sugars,Baked/Grain-Based Sweets,No Species Assignment,1,1730,412,15.7,13,16.8,51.5,1.1,1.9,45,1.5,10,148,147,250,0.3,3,0,0,0,0,0.03,0.5,0.5,7,7,0.2,0
Chewing Gum,Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,360,2.6,0,0.3,96.7,2.4,0,0,0,0,0,2,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0
Corn puffs,Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,5.4,0,0.1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crisps, Banana",Purchased Deep-Fried Foods;White Roots And Tubers,Others,Others,Tubers And Potatoes,Deep-Fried Foods,No Species Assignment,1,0,151,0,1.19,3.21,32.26,2.8,0,0,0,0,0,0,0,0,0,27,0,24,29,0.026,0.075,0.644,0,13,0.01,7.4
"Crisps, Cassava",Purchased Deep-Fried Foods;White Roots And Tubers,Others,Others,Tubers And Potatoes,Deep-Fried Foods,No Species Assignment,1,0,288,0,2.4,0.7,70.2,3.3,0,42,1.8,22,9,535,4,0.7,0,0,13,0,0,0.3,0,1.3,33,0,0,66
