food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Cream, pure, 35% fat",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,943,229,72,2.4,23.6,1.7,0,0.3,39,0.3,4,60,55,40,0,0,174,184,164,118,0.03,0.12,0,64,64,0.2,0
Ghee (cow milk),High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,3690,898,0,0.3,99.9,0,0,0.5,2,0.2,0,3,5,2,0.01,1,900,940,860,480,0,0.01,0,0,0,0,0
"Milk, camel, whole, fresh, boiled",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Camel,1,257,62,88,2.6,3.3,5.3,0,0.8,66,1.7,18,108,404,140,0.41,2,16,16,16,0,0.65,0.09,0,8,8,1,0
"Milk, camel, whole, fresh, raw",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Camel,1,219,52,89.8,2.2,2.8,4.5,0,0.7,56,1.5,16,92,344,119,0.35,2,15,16,13,18,0.61,0.08,0,8,8,0.6,0
"Milk, cow, condensed, skimmed, sweetened, raw",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,1210,284,27,9.9,0.2,60.7,0,2.2,358,0.3,30,300,446,125,1.05,8,0,0,0,2,0.1,0.6,0.3,0,0,0.4,2
"Milk, cow, condensed, whole, sweetened, raw",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,1410,335,25.8,8.3,9.2,54.8,0,1.9,280,0.2,25,255,357,130,0.9,8,74,78,70,46,0.1,0.5,0.3,0,0,0.4,1
"Milk, cow, powder, skimmed",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,1530,361,4.1,37.2,0.9,51,0,6.8,1290,0.4,115,1000,1602,550,3.83,23,5,5,4,7,0.45,1.64,0.9,54,54,4,2
"Milk, cow, powder, whole",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,2070,495,3.2,26.1,26.4,38.4,0,6,975,0.5,85,730,1157,440,2.97,25,395,408,383,149,0.34,1.32,0.8,54,54,3.2,3
"Milk, cow, skimmed, boiled",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,190,45,88,4.1,0.1,6.8,0,0.9,153,0.1,14,128,200,52,0.38,1,0,0,0,1,0.03,0.2,0.1,6,6,0,1
"Milk, cow, skimmed, raw",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,162,38,89.8,3.5,0.1,5.8,0,0.8,130,0.1,12,109,170,44,0.32,1,0,0,0,1,0.03,0.18,0.1,6,6,0.4,1
"Milk, cow, whole, fermented (Lala - Industrial)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,269,65,88.3,2.8,4.1,4.1,0,0.7,100,0.1,10,138,126,36,0.34,3,34,34,34,0,0,0.2,0,0,0,0.23,0
"Milk, cow, whole, fermented (Lala - mursik)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,243,58,89.1,3.1,3.5,3.6,0,0.8,65,0.1,5,59,64,22,0.22,0,41,41,41,0,0,0.27,0,0,0,0.1,1
"Milk, cow, whole, fresh, boiled",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,344,82,83.8,3.9,4.2,7.2,0,0.9,140,0.1,13,143,160,45,0.74,3,47,47,47,0,0,0.3,0,8,8,1,0
"Milk, cow, whole, fresh, raw (packaged)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,292,70,86.3,3.3,3.5,6.1,0,0.7,119,0.1,11,122,136,39,0.63,3,41,43,40,18,0,0.27,0,8,8,0.59,0
"Milk, cow, whole, fresh, raw (packed)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,292,70,86.3,3.3,3.5,6.1,0,0.7,119,0.1,11,122,136,39,0.63,3,41,43,40,18,0,0.27,0,8,8,0.59,0
"Milk, goat, fluid, whole, boiled",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Goat,1,382,92,82.7,4.1,5.3,6.8,0,1.1,211,0.1,14,150,243,68,0.41,1,38,38,38,0,0.05,0.21,0.5,1,1,0,0
"Milk, goat, fluid, whole, raw",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Goat,1,325,78,85.3,3.5,4.5,5.8,0,0.9,180,0.1,12,128,207,57,0.35,1,32,32,32,0,0.05,0.19,0.5,1,1,0.35,0.5
"Milk, human/breast, mature, fluid",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Human,1,303,73,87.2,1.2,4.4,7.1,0,0.2,32,0,3,15,51,14,0.17,2,61,61,60,7,0.02,0.03,0.2,5,5,0.05,4
"Milk, sheep, fluid, whole, boiled",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Sheep,1,459,110,79.8,6,6.8,6.2,0,1.2,227,0.1,21,166,206,52,0.64,2,95,95,95,0,0.07,0.4,0.4,7,7,1,3
"Milk, sheep, fluid, whole, raw",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Sheep,1,391,94,82.8,5.1,5.8,5.2,0,1.1,193,0.1,18,142,175,44,0.54,2,81,81,81,0,0.07,0.36,0.4,7,7,0.7,4
"Yoghurt (kawanda), cow milk, whole, plain",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,356,85,82,2.9,3.1,11.3,0,0.7,149,0.2,10,93,130,32,0.34,2,34,36,32,23,0.1,0.2,0.1,0,0,0.2,0
"Yoghurt (kawanda), cow milk, whole, sweetened",Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,0.7,356,85,82,2.9,3.1,11.3,0,0.7,149,0.2,10,93,130,32,0.34,2,34,36,32,23,0.1,0.2,0.1,0,0,0.2,0
Egg Toast,Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken;Wheat,1,1175,280,40.3,12.5,10.7,32.4,1.9,2.1,56,2.1,25,167,152,587,1.2,20,106,106,106,0,0.14,0.29,2.2,47,47,1,0
"Egg, chicken, white (albumen), raw",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.56,206,48,87.2,11.2,0,0.9,0,0.7,5,0.1,11,10,119,143,0,11,0,0,0,0,0,0.41,0,7,7,0,0
"Egg, chicken, white (albumin), boiled",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.56,206,48,87.2,11.2,0,1,0,0.7,5,0.1,10,10,113,135,0,10,0,0,0,0,0,0.33,0,6,6,0,0
"Egg, chicken, whole, boiled",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.87,558,134,75.9,12.7,8.1,2,0,0.9,51,1.6,13,171,120,147,1.07,21,177,177,177,0,0.09,0.41,0,66,66,1,0
"Egg, chicken, whole, poached",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,1,634,152,72.6,14.4,9.2,3,0,1,58,1.9,15,194,136,167,1.21,24,201,201,201,0,0.1,0.46,0,75,75,2,0
"Egg, chicken, whole, raw",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.87,558,134,75.9,12.7,8.1,2.4,0,0.9,54,1.7,14,180,126,155,1.13,23,186,186,186,0,0.12,0.51,0,83,83,1.7,0
"Egg, chicken, yolk, boiled",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.31,1370,331,51,16.1,28.2,3,0,1.5,124,5.7,8,378,99,48,2.38,53,427,427,427,0,0.15,0.32,0,96,96,3,0
"Egg, chicken, yolk, raw",Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,0.31,1370,331,51,16.1,28.2,3.2,0,1.5,130,6,8,398,104,50,2.5,56,449,449,449,0,0.19,0.4,0,120,120,4,0
Fried Egg,Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,1,926,223,64.2,13.1,17.9,2.5,0,2.4,56,1.8,14,186,132,717,1.16,23,192,192,192,0,0.11,0.5,0,60,60,1.66,0
Hard boiled egg,Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,1,569,136,75.4,12.9,8.3,2.5,0,0.9,52,1.7,13,174,122,150,1.09,22,180,180,180,0,0.09,0.42,0,68,68,1.38,0
Omelette,Eggs,Eggs,Eggs,Eggs,No GDR Assignment,Chicken,1,502,121,77.6,6.6,7.8,5.3,1.5,1.2,36,1.5,17,105,169,189,0.75,10,95,109,81,165,0.08,0.25,0.4,38,38,0.7,13.4
Spanish Omelette,Eggs,Eggs;Other Vegetables,Eggs;Other Fruits And Vegetables,Eggs,No GDR Assignment,Chicken;Potato;Onion,1,667,161,74,7.5,12.9,3.2,0.8,1.6,35,1.3,13,112,135,409,0.75,12,110,119,102,102,0.08,0.28,0.2,40,40,0.88,20.3
"Cod, fillet, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Cod,0.28,380,90,77.5,20.7,0.7,0,0,1.5,18,0.3,31,255,448,97,0.45,32,2,0,2,0,0.06,0.08,2.1,10,10,2,1
"Cod, fillet, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Cod,0.26,415,98,75.5,22.7,0.8,0,0,1.6,20,0.2,31,251,416,90,0.49,35,2,0,2,0,0.07,0.08,2.2,10,10,2,1
"Cod, fillet, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Cod,0.32,311,73,81.6,17,0.6,0,0,1.2,15,0.2,26,209,367,79,0.37,27,2,2,2,0,0.06,0.07,1.8,9,9,1.55,0.5
"Cod, fillet, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Cod,0.28,380,90,77.5,20.7,0.7,0,0,1.5,18,0.2,27,217,336,82,0.45,29,2,0,2,0,0.06,0.06,1.6,8,8,2,0
"Dagaa fish (omena), dried, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Dagaa,1,1400,333,11.2,59.5,10.6,0,0,10,2790,6.9,98,2730,800,300,16,22,141,141,141,0,0.34,0.52,18.2,46,46,60,0
"Dagaa fish (omena), dried, stewed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Dagaa,1,638,152,59.6,27,4.8,0,0,4.5,1270,3.1,44,1240,364,136,7.39,10,58,0,58,0,0.13,0.24,7.9,18,18,24,0
"Eel, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Eel,0.63,883,212,63.4,21.3,14,0,0,1.7,24,0.7,24,260,328,85,1.95,8,1131,0,1131,0,0.2,0.42,4,15,15,3,2
"Eel, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Eel,0.61,874,210,62.6,23,13.1,0,0,1.8,26,0.7,23,252,300,78,2.1,8,1084,0,1084,0,0.23,0.41,4.1,16,16,4,2
"Eel, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Eel,0.67,733,176,69.6,17.7,11.7,0,0,1.41,20,0.6,20,216,272,70.5,1.62,6.5,1043,1043,1043,0,0.2,0.35,3.5,15,15,3,1.8
"Eel, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Eel,0.63,830,199,64.8,21.3,12.6,0,0,1.7,24,0.6,20,221,246,72,1.95,7,880,0,880,0,0.18,0.3,3,13,13,3,2
Fried Tilapia,Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tilapia,1,1820,437,23.5,45.7,28.1,0.3,0,2.5,252,6.2,40,387,349,149,1.16,39,24,24,24,0,0.09,0.35,7.5,12,12,3.5,0
"Herring stock, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Herring,0.45,578,137,64.9,22.7,5.2,0,0,3.1,80,1.4,39,301,430,114,0.97,43,34,0,34,0,0.06,0.28,3.6,8,8,13,0
"Herring stock, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Herring,0.44,623,148,62.1,24.5,5.6,0,0,3.4,87,1.3,37,292,394,105,1.05,47,36,0,36,0,0.06,0.27,3.7,8,8,14,0
"Herring stock, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Herring,0.5,480,114,70.8,18.9,4.3,0,0,2.6,67,1.1,32,250,357,95,0.81,36,31,31,31,0,0.05,0.23,3.2,8,8,12.22,0
"Herring stock, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Herring,0.45,578,137,64.9,22.7,5.2,0,0,3.1,80,1.1,33,256,322,97,0.97,39,34,0,34,0,0.05,0.19,2.7,7,7,12,0
"Lungfish (mumi), fillet, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Lungfish,0.89,371,88,76.5,19.1,1.2,0,0,1.3,217,3.2,24,305,202,109,1.34,28,10,10,10,0,0,0.34,2.5,2,2,2,0
"Lungfish (mumi), fillet, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Lungfish,0.89,400,94,74.7,20.6,1.3,0,0,1.4,234,2.9,24,296,185,100,1.45,31,11,0,11,0,0,0.33,2.5,2,2,2,0
"Lungfish (mumi), fillet, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Lungfish,0.91,308,73,80.5,15.9,1,0,0,1.1,180,2.6,20,253,168,91,1.12,24,9,9,9,0,0,0.28,2.2,2,2,1.64,0.2
"Lungfish (mumi), fillet, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Lungfish,0.89,371,88,76.5,19.1,1.2,0,0,1.3,217,2.5,21,259,152,93,1.34,26,10,0,10,0,0,0.24,1.8,2,2,2,0
"Mackerel, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mackerel,0.62,534,127,76.8,18.7,5.9,0,0,1.3,23,0.9,33,215,395,66,0.52,48,25,25,25,0,0.1,0.15,2.9,1,1,3.9,1.8
Mgongo wazi (Nile perch (mbuta)),Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Nile perch,0.2,356,84,77.37,19,0.9,0,0,1.2,133,1,29,282,222,97,0.56,22,15,15,15,0,0,0,2,7,7,1.3,0
Mgongo wazi (Nile perch),Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Nile perch,0.2,356,84,77.37,19,0.9,0,0,1.2,133,1,29,282,222,97,0.56,22,15,15,15,0,0,0,2,7,7,1.3,0
"Mudfish (kamongo), fillet, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mudfish,0.36,520,123,73.8,21.5,4.2,0,0,1.4,28,0.7,29,217,363,49,1.29,46,10,10,10,0,0.07,0.04,3.5,14,14,4,0
"Mudfish (kamongo), fillet, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mudfish,0.34,560,133,71.8,23.2,4.5,0,0,1.5,30,0.6,28,210,333,45,1.39,49,11,11,11,0,0.08,0.04,3.5,14,14,4,0
"Mudfish (kamongo), fillet, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mudfish,0.4,431,102,78.3,17.8,3.5,0,0,1.2,23,0.5,24,180,301,41,1.07,38,9,9,9,0,0.07,0.03,3,14,14,3.5,0
"Mudfish (kamongo), fillet, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mudfish,0.36,520,123,73.8,21.5,4.2,0,0,1.4,28,0.5,24,184,272,42,1.29,41,10,10,10,0,0.06,0.03,2.6,11,11,3,0
"Nile perch (mbuta), dry, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Nile perch,1,1634,388,12.2,71.8,10.7,1.2,0,4.2,516,4,112,1092,859,376,2,84,186,186,186,0,0,0,8,28,28,5,0
"Nile perch (mbuta), fillet without bones, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Nile perch,0.69,356,84,77.37,19,0.9,0,0,1.2,133,1,29,282,222,97,0.56,22,15,15,15,0,0,0,2,7,7,1.3,0
"Nile Perch, stewed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Nile perch,1,522,125,74,14.3,6.3,2.5,0.5,2.4,105,1,26,216,203,596,0.51,16,16,22,10,68,0.01,0.01,1.6,9,9,0.86,5.2
"Nile tilapia (ngege), fillet, without skin and bones, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tilapia,0.58,391,92,77.6,19.7,1.5,0,0,1.1,109,2.7,17,167,151,64,0.5,17,10,10,10,0,0.04,0.15,3.23,5,5,1.51,0
Omena Stew,Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Dagaa,1,747,180,68.5,8.8,13.3,6,0.7,2.7,378,1,20,333,188,449,2.26,4,52,60,44,94,0.04,0.18,1.6,12,12,5.61,6.4
"Omena, fried",Fish And Shellfish,"Meat, Poultry And Fish;Others","Meat, Poultry And Fish;Others",Fish And Seafood,No GDR Assignment,Dagaa,1,1860,450,32.8,19.2,39.3,4.6,0.8,3.4,879,2.3,33,782,281,90,5.28,7,55,69,41,171,0.11,0.17,5.4,22,22,16.78,10.9
"Prawns, flesh, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Prawn,0.51,419,99,75.1,18.4,1.1,3.9,0,1.6,59,1.5,43,246,252,191,1.43,42,16,20,11,56,0.04,0.08,2.7,14,14,2.14,0.3
"Prawns, fresh, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Prawn,0.46,505,119,69.9,22.2,1.3,5,0,1.9,71,1.5,47,267,258,196,1.72,50,16,0,11,59,0.04,0.09,2.9,13,13,2,0
"Prawns, fresh, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Prawn,0.47,487,115,71,21.4,1.3,4,0,1.9,69,1.7,50,286,293,223,1.66,48,16,0,11,58,0.04,0.1,2.9,13,13,2,0
"Prawns, fresh, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Prawn,0.46,505,119,69.9,22.2,1.3,5,0,1.9,71,1.4,44,252,228,196,1.72,45,16,0,11,56,0.03,0.07,2.2,11,11,2,0
"Sardine, flesh, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Sardine,0.6,605,145,71.2,19.5,7.4,0,0,2.1,42,1.3,36,256,364,38,1.2,50,13,13,13,0,0.01,0.05,0.91,23,23,0.5,0
"Sardine, fresh, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Sardine,0.56,712,170,66.2,23,8.7,0,0,2.5,50,1.6,42,301,428,45,1.45,59,13,0,13,0,0.01,0.06,1,23,23,1,0
"Sardine, fresh, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Sardine,0.52,733,175,63.2,26.8,7.5,0,0,2.9,58,1.5,44,316,423,45,1.68,69,14,0,14,0,0.01,0.06,1.1,25,25,1,0
"Sardine, fresh, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Sardine,0.56,666,159,67.4,23,7.4,0,0,2.5,50,1.2,36,256,321,38,1.45,53,10,0,10,0,0.01,0.04,0.7,19,19,0,0
"Shark, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Shark,0.63,479,113,69.2,26,1,0,0,1.4,10,0.5,39,316,448,77,0.55,35,1,0,1,0,0.03,0.05,3.1,3,3,2,0
"Shark, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Shark,0.61,517,122,66.8,28.1,1.1,0,0,1.5,11,0.4,38,307,411,70,0.6,38,1,0,1,0,0.04,0.05,3.1,3,3,2,0
"Shark, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Shark,0.67,398,94,74.4,21.6,0.8,0,0,1.1,8,0.38,32.58,263,372,63.63,0.46,28.9,1,1,1.1,0,0.03,0.04,2.68,3,3,1.49,0
"Shark, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Shark,0.63,479,113,69.2,26,1,0,0,1.4,10,0.4,33,269,336,65,0.55,31,1,0,1,0,0.03,0.03,2.3,3,3,1,0
Stewed Dried Fish,Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mixed fish species,1,1380,330,42.7,25.7,23.2,3.9,1.4,3,189,2.1,57,395,403,572,1.02,29,0,0,57,124,0.05,0.03,3.3,0,19,1.52,10.4
"Tuna, boiled in recipe",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tuna,0.52,625,148,61.1,31.2,2.5,0,0,1.8,7,1,52,333,474,63,0.57,92,20,0,20,0,0.17,0.18,19.4,3,3,5,0
"Tuna, grilled",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tuna,0.51,675,160,57.9,33.8,2.7,0,0,2,7,1,50,324,435,57,0.62,99,22,0,22,0,0.2,0.18,19.9,3,3,6,0
"Tuna, raw",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tuna,0.58,500,118,68.9,25,2,0,0,1.5,5,0.8,41,266,379,50,0.46,73,18,18,18,0,0.16,0.15,16.3,3,3,4.6,0
"Tuna, steamed",Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Tuna,0.52,625,148,61.1,31.2,2.5,0,0,1.8,7,0.8,44,283,355,53,0.57,83,20,0,20,0,0.15,0.13,14.3,2,2,5,0
Fish ball,Fish And Shellfish,"Meat, Poultry And Fish","Meat, Poultry And Fish",Fish And Seafood,No GDR Assignment,Mixed fish species,1,1820,437,23.5,45.7,28.1,0.3,0,2.5,252,6.2,40,387,349,149,1.16,39,24,24,24,0,0.09,0.35,7.5,12,12,3.5,0
"Apple, green skin, unpeeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Apple,0.9,231,55,85,0.3,0,12.2,2.4,0.2,6,0.4,4,10,99,2,0.07,1,1,2,0,11,0.025,0.01,0.1,0,0,0,4
"Apple, red, unpeeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Apple,0.9,239,57,84.6,0.3,0.1,12.4,2.3,0.25,6,0.3,4,9,100,1,0.07,1,1,2,0,14,0.02,0.01,0.13,5,5,0,4
"Avocado Juice, Fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Avocado,1,0,104.5,0,0.6,5,15.9,0,0,3.7,0.3,12.6,13.6,194.5,3.4,0.1,0,1.9,0,0,0,0,0,0.6,20.1,0,0,2.6
"Avocado, ripe, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Avocado,0.71,761,185,74,1.6,19.6,0,4,1.9,19,1,25,41,281,7,0.39,0,2,5,0,27,0.07,0.15,1.8,67,67,0,14
"Banana, cavendish, not ripe, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Banana,0.62,402,95,74.4,1.08,0.3,20.6,2.75,0.9,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4
"Banana, cavendish, ripe, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Banana,0.62,402,95,74.4,1.08,0.3,20.6,2.75,0.9,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4
"Baobab fruit (mabuyu), powderly part, dry, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Baobab,0.23,1335,315,13.1,2.3,0.4,72.2,6.8,5.2,283,5,108,56,1613,56,0.88,24,0,0,0,0,0.04,0.2,1.5,50,50,0,13.7
"Custard apple (tomoko) apple, peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Custard apple,0.72,386,92,75,1.7,0.7,17,5.1,0.8,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22
"Custard apple (tomoko), peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Custard apple,0.72,386,92,75,1.7,0.7,17,5.1,0.8,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22
"Date (tende), dried",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Date,0.84,1292,305,17.2,2.4,0.2,68.7,9.7,1.9,82,2.6,50,72,730,14,0.6,3,2,4,0,23,0.03,0.13,1.4,19,19,0,5
"Date (tende), raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Date,0.86,645,152,60.2,1.6,0.1,35.3,1.8,1,34,0.3,24,28,410,7,0.2,1,2,3,0,20,0.06,0.07,0.7,25,25,0,22
